period,timestep,profile_name,value
1,1,DHW_or_space,0.4162042966939261
1,1,RoR,0.1022362771482342
1,1,cool,0.0
1,1,elec,0.7183538148032815
1,1,solar,0.0
1,1,transport_truck_bus_van_car_rail_aviation_maritime,0.5348865033709619
1,1,wind,0.2739252204383425
1,2,DHW_or_space,0.410994677867843
1,2,RoR,0.1022362771482342
1,2,cool,0.0
1,2,elec,0.7176774336834093
1,2,solar,0.0
1,2,transport_truck_bus_van_car_rail_aviation_maritime,0.5264013507482158
1,2,wind,0.3011745980734542
1,3,DHW_or_space,0.4248865234317282
1,3,RoR,0.1022362771482342
1,3,cool,0.0
1,3,elec,0.7134012125514881
1,3,solar,0.0
1,3,transport_truck_bus_van_car_rail_aviation_maritime,0.5244147491427243
1,3,wind,0.3135994841987066
1,4,DHW_or_space,0.4867826826488491
1,4,RoR,0.1022362771482342
1,4,cool,0.0
1,4,elec,0.7192521221166621
1,4,solar,0.0
1,4,transport_truck_bus_van_car_rail_aviation_maritime,0.5243540268397658
1,4,wind,0.3288733766507876
1,5,DHW_or_space,0.6645652422683624
1,5,RoR,0.1022362771482342
1,5,cool,0.0
1,5,elec,0.743425892503325
1,5,solar,0.0
1,5,transport_truck_bus_van_car_rail_aviation_maritime,0.5243540268397658
1,5,wind,0.329927962483857
1,6,DHW_or_space,0.8950704601549495
1,6,RoR,0.1022362771482342
1,6,cool,0.0
1,6,elec,0.792125972456156
1,6,solar,0.0
1,6,transport_truck_bus_van_car_rail_aviation_maritime,0.5611895521184416
1,6,wind,0.3237899769184872
1,7,DHW_or_space,0.9532177527057352
1,7,RoR,0.1022362771482342
1,7,cool,0.0
1,7,elec,0.6930858356385778
1,7,solar,0.0
1,7,transport_truck_bus_van_car_rail_aviation_maritime,0.5786952603334974
1,7,wind,0.3132314671452098
1,8,DHW_or_space,0.871746334877786
1,8,RoR,0.1022362771482342
1,8,cool,0.0
1,8,elec,0.4184663052636037
1,8,solar,0.0
1,8,transport_truck_bus_van_car_rail_aviation_maritime,0.5546361553605481
1,8,wind,0.2997111897518471
1,9,DHW_or_space,0.816969172201174
1,9,RoR,0.1022362771482342
1,9,cool,0.0
1,9,elec,0.2376773552251671
1,9,solar,0.0011198868324885
