period,rep_period,weight
1,1,0.45837489529254594
1,3,0.5416251047074541
2,1,0.4261916667499788
2,3,0.5294339488643637
2,5,0.04437438438565751
3,1,0.23236969224221468
3,2,0.185034685609137
3,3,0.5185475946027415
3,5,0.06404802754590688
4,1,0.4176344276377023
4,3,0.16810193227639803
4,5,0.4142636400858998
5,1,0.5395080908843126
5,5,0.4604919091156873
6,1,0.5916615562547933
6,2,0.3002390192289893
6,3,0.10809942451621737
7,1,1.0
8,1,0.6526810178241902
8,2,0.3187109260825552
8,3,0.028608056093254716
9,1,0.6528945352057816
9,2,0.3117533334963755
9,3,0.0353521312978429
10,2,1.0
11,2,0.41594303366524016
11,5,0.5840569663347598
12,1,0.21374246753047685
12,2,0.021214228017923758
12,5,0.7650433044515994
13,1,0.5787612165534434
13,5,0.4212387834465567
14,1,0.9096719543337703
14,3,0.030029653257307026
14,4,0.06029839240892266
15,1,0.5511471066195761
15,2,0.1113877368932633
15,3,0.017402560949547632
15,5,0.32006259553761296
16,1,0.5644018193323992
16,5,0.43559818066760075
17,1,0.2017582385261674
17,2,0.08689931506449639
17,5,0.7113424464093362
18,1,0.018195866533029802
18,4,0.024831622456140408
18,5,0.9569725110108298
19,3,0.017428757632262835
19,4,0.020841358647246497
19,5,0.9617298837204907
20,3,0.3286193730134019
20,5,0.6713806269865982
21,1,0.033087834439288935
21,3,0.5730296733711416
21,5,0.3938824921895694
22,3,0.0355305931798412
22,4,0.05756071514265326
22,5,0.9069086916775057
23,3,0.08951959375687937
23,4,0.08428109149933878
23,5,0.8261993147437818
24,1,0.3982596240891893
24,3,0.2479280281606552
24,4,0.07378128513589949
24,5,0.28003106261425587
25,3,0.2431201294789543
25,5,0.7568798705210457
26,1,0.17890455225258792
26,3,0.7122810040766522
26,5,0.10881444367075988
27,1,0.1743309250045564
27,3,0.8256690749954436
28,1,0.15505508955794242
28,3,0.8172364440386581
28,5,0.02770846640339948
29,1,0.026665155013951378
29,3,0.8729065289792152
29,5,0.10042831600683348
30,3,0.5463158150275297
30,5,0.45368418497247026
31,3,0.22273840224016636
31,5,0.7772615977598336
32,3,0.13295088687417309
32,5,0.8670491131258269
33,1,0.066686320273375
33,4,0.039432418380776046
33,5,0.893881261345849
34,1,0.4835923130604256
34,3,0.32969304421903145
34,4,0.15272044526240833
34,5,0.033994197458134534
35,1,0.5069310662123498
35,3,0.4319569701401766
35,4,0.06111196364747346
36,1,0.2688995852740742
36,3,0.3739965011563244
36,5,0.35710391356960147
37,1,0.21422109363500175
37,3,0.7857789063649983
38,1,0.16809669020040574
38,3,0.6593350356563223
38,5,0.17256827414327197
39,1,0.07891940408376218
39,3,0.6499103521218321
39,5,0.27117024379440563
40,1,0.05150417409967653
40,3,0.31751322495891837
40,4,0.0658514151282851
40,5,0.5651311858131199
41,3,0.09373159743857047
41,4,0.04637484248780817
41,5,0.8598935600736213
42,3,0.5728481199850194
42,5,0.42715188001498067
43,3,0.7524026970624266
43,5,0.24759730293757354
44,3,0.7999242694791507
44,5,0.2000757305208493
45,1,0.019164831465154547
45,3,0.9808351685348455
46,3,0.604806279936272
46,5,0.39519372006372794
47,3,0.5999911244255547
47,5,0.40000887557444526
48,3,0.5692246555020171
48,5,0.43077534449798305
49,3,1.0
50,1,0.02825345512285807
50,3,0.8742695921006876
50,5,0.09747695277645448
51,3,0.6480637502453548
51,5,0.3519362497546452
52,3,0.8550177790558909
52,5,0.14498222094410917
53,3,0.39684842176907476
53,5,0.6031515782309252
54,3,0.4221696419414758
54,4,0.03974965042732366
54,5,0.5380807076312005
55,1,0.11261060631881256
55,3,0.8873893936811874
56,3,0.5857015861624939
56,5,0.41429841383750604
57,3,0.2754937744068484
57,5,0.7245062255931516
58,1,0.10804269219749177
58,3,0.5103057261712042
58,5,0.38165158163130397
59,1,0.29635982913489606
59,3,0.703640170865104
60,1,0.4158641315205616
60,3,0.5679357153596065
60,5,0.016200153119831907
61,1,0.31620071562442875
61,3,0.5613682483315873
61,5,0.12243103604398388
62,1,0.061003951473731687
62,3,0.1549373794838362
62,4,0.06741442427023184
62,5,0.7166442447722001
63,1,0.20190717911114286
63,3,0.021760149693396163
63,4,0.12194062579973818
63,5,0.6543920453957228
64,1,0.05297699256566264
64,2,0.19023038053728872
64,3,0.574083774172393
64,5,0.1827088527246558
65,1,0.13692207745643842
65,3,0.2156583583582434
65,4,0.045437565008351485
65,5,0.6019819991769667
66,2,0.14777887779149473
66,3,0.5720641722249086
66,5,0.28015694998359675
67,2,0.01493992518321332
67,3,0.10948277085162514
67,5,0.8755773039651615
68,1,0.03623878345884421
68,3,0.08929391478914173
68,5,0.874467301752014
69,1,0.015625298504741692
69,3,0.2272131502284674
69,4,0.11953000354279601
69,5,0.6376315477239949
70,3,0.7698641449708539
70,5,0.23013585502914619
71,3,0.23949297159710148
71,4,0.0569333083034511
71,5,0.7035737200994474
72,3,0.9683179000042089
72,5,0.03168209999579115
73,3,0.46108666200157716
73,5,0.5389133379984229
74,3,0.5865437122352021
74,5,0.41345628776479787
75,1,0.036703604620586
75,3,0.963296395379414
76,3,0.8348781297764735
76,5,0.16512187022352665
77,1,0.029473729663051174
77,3,0.9705262703369488
78,2,0.015694364241932365
78,3,0.8648773066962169
78,5,0.11942832906185076
79,1,0.08125152846432365
79,2,0.036026835361962155
79,3,0.8827216361737142
80,2,0.1996271890515034
80,3,0.8003728109484965
81,1,0.0724417088026061
81,2,0.060230442846253285
81,3,0.29883692879015666
81,4,0.0318643852812
81,5,0.5366265342797839
82,3,0.05814497195379202
82,4,0.020596280962009682
82,5,0.9212587470841984
83,1,0.05826838379187644
83,3,0.3528471447160209
83,5,0.5888844714921028
84,3,0.25741353301152103
84,5,0.742586466988479
85,3,0.27702982401819665
85,5,0.7229701759818035
86,3,0.3086115850638469
86,5,0.6913884149361531
87,3,0.7226280182317245
87,5,0.2773719817682755
88,3,0.8789297403907675
88,5,0.1210702596092325
89,3,1.0
90,3,1.0
91,3,0.7120921501901516
91,5,0.28790784980984835
92,3,0.6944491775762742
92,5,0.3055508224237258
93,3,1.0
94,3,0.8104828302673566
94,5,0.18951716973264351
95,3,1.0
96,3,0.8892522737466994
96,5,0.11074772625330062
97,3,0.7557130991223182
97,5,0.2442869008776818
98,3,0.13431606964633688
98,4,0.10982188878796789
98,5,0.7558620415656953
99,1,0.060039333541809396
99,3,0.6858049871590769
99,5,0.2541556792991137
100,3,0.6316367983015232
100,5,0.3683632016984768
101,3,0.867788711678112
101,4,0.13221128832188805
102,3,1.0
103,1,0.08133651498160828
103,3,0.9186634850183918
104,2,0.1304350736438756
104,3,0.8695649263561244
105,3,0.6230360373684457
105,4,0.10969842181926967
105,5,0.2672655408122845
106,1,0.19553917874451043
106,3,0.5553850536887545
106,4,0.17375325724580284
106,5,0.0753225103209323
107,3,0.6381823747433681
107,5,0.36181762525663175
108,3,0.7434370478666956
108,5,0.25656295213330443
109,3,0.9263396368373434
109,5,0.07366036316265663
110,3,1.0
111,3,1.0
112,3,0.9374339825905608
112,5,0.06256601740943918
113,3,1.0
114,3,0.7628337671758948
114,5,0.2371662328241052
115,3,0.6982909071382956
115,4,0.037699757615837395
115,5,0.26400933524586706
116,1,0.1865358148128557
116,3,0.7568081681499669
116,4,0.056656017037177486
117,3,0.6241734693872303
117,5,0.3758265306127698
118,1,0.09406559204916311
118,3,0.9059344079508368
119,3,1.0
120,3,1.0
121,3,1.0
122,3,1.0
123,3,0.7523318711779314
123,5,0.24766812882206862
124,2,0.08314990238160026
124,3,0.7447644786290941
124,5,0.17208561898930558
125,1,0.056660678704327734
125,2,0.01358524888936031
125,3,0.0998324485747221
125,4,0.11503773791545405
125,5,0.7148838859161358
126,1,0.1297475269960484
126,3,0.03937750966343379
126,4,0.14111708801527542
126,5,0.6897578753252425
127,1,0.18728861825550217
127,3,0.2154709014311395
127,4,0.17788815121770007
127,5,0.4193523290956583
128,1,0.03954365943437847
128,3,0.11705170432938387
128,4,0.13033869991124525
128,5,0.7130659363249925
129,1,0.26587545440427235
129,3,0.6559671603933239
129,4,0.07815738520240371
130,2,0.21378172669203688
130,3,0.7862182733079631
131,3,0.2375526407359239
131,4,0.0908880693288761
131,5,0.6715592899352001
132,3,0.19876977476109883
132,4,0.0678757345843214
132,5,0.7333544906545798
133,3,0.5192536563687796
133,4,0.11295335510906714
133,5,0.36779298852215325
134,3,0.7158901265858144
134,4,0.14137874741385564
134,5,0.14273112600033003
