,source,target,commodity,y2030,y2040,y2050,scenario
0,NLC3,NLC5,methane,0.09752869861036247,0.08570395078409986,0.0782916801874635,wy_2009
1,NLC8,BEC5,methane,0.10184333567491459,0.1110617094545747,0.0525680812736425,wy_2009
2,NLC4,NLC6,methane,0.041305610798836837,0.0693048777288154,0.05136738989496754,wy_2009
3,DE,NLC3,hydrogen,0.058557861314215975,0.05856230184791251,0.05856207710095529,wy_2009
4,NLC4,NLC5,electricity,0.024375429408832906,0.023292439908832927,0.023107023108832902,wy_2009
5,NLC3,NLC4,methane,0.1302602050867992,0.16736202537410078,0.13966850906366707,wy_2009
6,BEC2,BEC1,methane,0.08976926119383408,0.11511999413544892,0.11354265369987349,wy_2009
7,NLC9,BEC5,methane,0.08024967312806415,0.025092232527701503,0.06651913028594485,wy_2009
8,BEC2,BEC1,electricity,0.06325138563012861,0.00325554346761483,0.0061624771956334925,wy_2009
9,NLC3,NLC5,hydrogen,0.05855283163356223,0.05855283163356223,0.058553567633562224,wy_2009
10,NLC6,NLC8,electricity,0.04289320278969609,0.009977322045902414,0.007445165604215988,wy_2009
11,NLC8,NLC3,electricity,0.004348034999999276,0.0,0.0005874361000000139,wy_2009
12,NLC2,NLC1,electricity,0.01764245312721237,0.0,0.0,wy_2009
13,BEC8,BEC4,methane,0.02650549449339716,0.025055679457032135,0.028751711250880614,wy_2009
14,BEC2,BEC4,electricity,0.011844398029747925,0.0025368352176969085,0.0,wy_2009
15,DE,BEC6,electricity,0.023,0.023,0.023,wy_2009
16,BEC5,NLC6,methane,0.13217795455627787,0.08470596166855217,0.08805838267708721,wy_2009
17,BEC4,BEC8,electricity,0.0026066432153714317,0.0,0.0,wy_2009
18,FR,BEC8,methane,0.18024606856714098,0.1865209404156006,0.22868535993714476,wy_2009
19,BEC5,BEC1,electricity,0.0,0.025353056506172457,0.020907987764485977,wy_2009
20,BEC7,BEC2,electricity,0.03,0.04347664884927721,0.044652637459598965,wy_2009
21,BEC6,BEC3,electricity,0.058599277562513985,0.0,0.0,wy_2009
22,BEC8,BEC4,electricity,0.039,0.018968118355368508,0.022292169973065414,wy_2009
23,LU,BEC6,electricity,0.01564,0.01564,0.01564,wy_2009
24,NLC8,NLC4,methane,0.09704137558686801,0.06303673777196918,0.05676500517987828,wy_2009
25,NLC3,NLC5,electricity,0.0032133351429065255,0.006660624388616751,0.00658731936576949,wy_2009
26,FR,BEC7,electricity,0.0621,0.0621,0.0621,wy_2009
27,BEC7,BEC2,methane,0.05300112533294829,0.09270855057821303,0.040076841745265074,wy_2009
28,NLC7,NLC6,methane,0.016522244319534734,0.023101625909605135,0.029352794225695734,wy_2009
29,FR,BEC7,methane,0.07986816001792907,0.11812637041066858,0.0696588963375994,wy_2009
30,FR,BEC8,hydrogen,0.0440517590948006,0.04405567506684828,0.04405308032134601,wy_2009
31,BEC6,BEC5,methane,0.07745953320884058,0.044906710232525814,0.0813619220300928,wy_2009
32,DE,NLC1,electricity,0.0345,0.0345,0.0345,wy_2009
33,NLC3,NLC2,electricity,0.069,0.0,0.0,wy_2009
34,NO,NLC1,electricity,0.016100000000000003,0.016100000000000003,0.016100000000000003,wy_2009
35,BEC1,BEC5,electricity,0.0031849370125471275,0.0,0.0,wy_2009
36,NLC6,NLC7,electricity,0.018111341967178448,0.05023194251097213,0.05245416882463995,wy_2009
37,NLC3,NLC2,methane,0.03747743539081207,0.02531395903405076,0.024652408750843242,wy_2009
38,FR,BEC3,electricity,0.036800000000000006,0.036800000000000006,0.036800000000000006,wy_2009
39,DE,NLC3,methane,0.42894995971637395,0.4198382479075202,0.3695540267039901,wy_2009
40,BEC6,BEC2,methane,0.06569103243114027,0.03572906735910346,0.10603769352331104,wy_2009
41,BEC3,BEC2,electricity,0.069,0.010276517837486001,0.010104040837486004,wy_2009
