,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
0,CCGT-existing_NLC1,3.34,0.0,0.0,electricity,wy_2009,NLC1,Combined-cycle Gas Turbine
1,gas-boiler-existing_NLC6,1.71,0.55,3.43,buildings heat,wy_2009,NLC6,Gas Boiler
2,wasteST-existing_BEC1,0.07,0.0,0.0,electricity,wy_2009,BEC1,Waste Steam Turbine
3,coal-boiler-existing_BEC3,0.0,0.01,0.02,buildings heat,wy_2009,BEC3,Coal Boiler
4,solar-PV-existing_NLC5,1.05,0.0,0.0,electricity,wy_2009,NLC5,Solar
5,ground-heatpump-existing_BEC7,0.0,0.0,0.0,buildings heat,wy_2009,BEC7,Ground HP
6,bio-boiler-existing_BEC1,0.61,0.0,0.0,buildings heat,wy_2009,BEC1,Biomass Boiler
7,bio-boiler-existing_BEC8,0.64,0.0,0.0,buildings heat,wy_2009,BEC8,Biomass Boiler
8,coal-boiler-existing_NLC8,0.0,0.0,0.0,buildings heat,wy_2009,NLC8,Coal Boiler
9,oil-boiler-existing_NLC7,0.0,0.01,0.02,buildings heat,wy_2009,NLC7,Diesel Boiler
10,coal-boiler-existing_NLC6,0.0,0.0,0.0,buildings heat,wy_2009,NLC6,Coal Boiler
11,air-heatpump-existing_NLC4,0.09,0.0,0.0,buildings heat,wy_2009,NLC4,Air HP
12,wind-on-existing_NLC8,0.26,0.0,0.0,electricity,wy_2009,NLC8,Onshore Wind
13,electric-heating-existing_NLC1,0.1,0.0,0.0,buildings heat,wy_2009,NLC1,Electric Heater
14,air-heatpump-existing_NLC5,0.04,0.0,0.0,buildings heat,wy_2009,NLC5,Air HP
15,bio-diges-up_NLC4,0.04,0.0,0.0,methane,wy_2009,NLC4,Bio-digestion and Upgrading
16,electric-heating-existing_NLC8,0.26,0.0,0.0,buildings heat,wy_2009,NLC8,Electric Heater
17,solar-PV-existing_NLC1,3.93,0.0,0.0,electricity,wy_2009,NLC1,Solar
18,ground-heatpump-existing_NLC4,0.04,0.0,0.0,buildings heat,wy_2009,NLC4,Ground HP
19,coal-boiler-existing_BEC5,0.0,0.01,0.02,buildings heat,wy_2009,BEC5,Coal Boiler
20,bio-boiler-existing_NLC6,0.6,0.0,0.0,buildings heat,wy_2009,NLC6,Biomass Boiler
21,coal-boiler-existing_NLC1,0.0,0.0,0.0,buildings heat,wy_2009,NLC1,Coal Boiler
22,solar-PV-existing_NLC8,4.77,0.0,0.0,electricity,wy_2009,NLC8,Solar
23,ground-heatpump-existing_NLC1,0.01,0.0,0.0,buildings heat,wy_2009,NLC1,Ground HP
24,gas-boiler-existing_NLC9,0.54,0.18,1.05,buildings heat,wy_2009,NLC9,Gas Boiler
25,solar-PV-existing_BEC7,0.83,0.0,0.0,electricity,wy_2009,BEC7,Solar
26,coal-boiler-existing_NLC2,0.0,0.0,0.0,buildings heat,wy_2009,NLC2,Coal Boiler
27,solar-PV-existing_BEC5,1.43,0.0,0.0,electricity,wy_2009,BEC5,Solar
28,wind-on-existing_BEC1,0.44,0.0,0.0,electricity,wy_2009,BEC1,Onshore Wind
29,oil-boiler-existing_BEC4,0.0,0.15,0.37,buildings heat,wy_2009,BEC4,Diesel Boiler
30,electric-heating-existing_BEC2,0.46,-0.0,0.0,buildings heat,wy_2009,BEC2,Electric Heater
31,air-heatpump-existing_NLC8,0.06,0.0,0.0,buildings heat,wy_2009,NLC8,Air HP
32,gas-boiler-existing_NLC8,2.03,0.68,4.02,buildings heat,wy_2009,NLC8,Gas Boiler
33,CCGT-existing_BEC8,0.46,0.0,0.0,electricity,wy_2009,BEC8,Combined-cycle Gas Turbine
34,coal-boiler-existing_NLC4,0.0,0.0,0.01,buildings heat,wy_2009,NLC4,Coal Boiler
35,air-heatpump-existing_NLC7,0.01,0.0,0.0,buildings heat,wy_2009,NLC7,Air HP
36,air-heatpump-existing_NLC3,0.08,0.0,0.0,buildings heat,wy_2009,NLC3,Air HP
37,electric-heating-existing_BEC1,0.17,0.0,0.0,buildings heat,wy_2009,BEC1,Electric Heater
38,oil-boiler-existing_NLC1,0.0,0.02,0.04,buildings heat,wy_2009,NLC1,Diesel Boiler
39,ground-heatpump-existing_NLC9,0.01,0.0,0.0,buildings heat,wy_2009,NLC9,Ground HP
40,bio-boiler-existing_BEC5,0.59,0.0,0.0,buildings heat,wy_2009,BEC5,Biomass Boiler
41,SCPC-existing_BEC6,0.42,0.0,0.0,electricity,wy_2009,BEC6,Coal Power Plant
42,wind-off-FB-existing_NSNL011,3.32,0.0,0.0,electricity,wy_2009,,Offshore Wind
43,coal-boiler-existing_NLC5,0.0,0.0,0.0,buildings heat,wy_2009,NLC5,Coal Boiler
44,wind-on-existing_NLC3,1.67,0.0,0.0,electricity,wy_2009,NLC3,Onshore Wind
45,gas-boiler-existing_NLC4,3.34,1.07,6.74,buildings heat,wy_2009,NLC4,Gas Boiler
46,coal-boiler-existing_NLC3,0.0,0.0,0.01,buildings heat,wy_2009,NLC3,Coal Boiler
47,wind-on-existing_BEC5,0.63,0.0,0.0,electricity,wy_2009,BEC5,Onshore Wind
48,air-heatpump-existing_BEC3,0.01,0.0,0.0,buildings heat,wy_2009,BEC3,Air HP
49,bio-boiler-existing_NLC3,1.09,0.0,0.0,buildings heat,wy_2009,NLC3,Biomass Boiler
50,oil-boiler-existing_BEC5,0.0,0.29,0.69,buildings heat,wy_2009,BEC5,Diesel Boiler
51,SMR+CC_NLC1,1.43,0.0,0.0,hydrogen,wy_2009,NLC1,Steam Methane Reforming
52,air-heatpump-existing_NLC6,0.05,0.0,0.0,buildings heat,wy_2009,NLC6,Air HP
53,wind-on-existing_NLC2,1.1,0.0,0.0,electricity,wy_2009,NLC2,Onshore Wind
54,ground-heatpump-existing_BEC6,0.01,0.0,0.0,buildings heat,wy_2009,BEC6,Ground HP
55,ground-heatpump-existing_BEC1,0.01,0.0,0.0,buildings heat,wy_2009,BEC1,Ground HP
56,bioST-existing_BEC4,0.2,0.0,0.0,electricity,wy_2009,BEC4,Biomass Steam Turbine
57,CCGT-existing_BEC3,0.41,0.0,0.0,electricity,wy_2009,BEC3,Combined-cycle Gas Turbine
58,solar-PV-existing_BEC1,0.56,0.0,0.0,electricity,wy_2009,BEC1,Solar
59,oil-boiler-existing_BEC2,0.0,0.8,1.93,buildings heat,wy_2009,BEC2,Diesel Boiler
60,air-heatpump-existing_BEC7,0.01,0.0,0.0,buildings heat,wy_2009,BEC7,Air HP
61,electric-heating-existing_NLC7,0.04,0.0,0.0,buildings heat,wy_2009,NLC7,Electric Heater
62,gas-boiler-existing_NLC2,1.09,0.37,2.15,buildings heat,wy_2009,NLC2,Gas Boiler
63,gas-boiler-existing_BEC5,0.45,0.11,1.25,buildings heat,wy_2009,BEC5,Gas Boiler
64,electric-heating-existing_BEC4,0.08,0.0,0.0,buildings heat,wy_2009,BEC4,Electric Heater
65,CCGT-existing_BEC4,0.38,0.0,0.0,electricity,wy_2009,BEC4,Combined-cycle Gas Turbine
66,CCGT-existing_BEC6,1.52,0.0,0.0,electricity,wy_2009,BEC6,Combined-cycle Gas Turbine
67,SCPC-existing_NLC6,3.11,0.0,0.0,electricity,wy_2009,NLC6,Coal Power Plant
68,solar-PV-existing_NLC6,2.51,0.0,0.0,electricity,wy_2009,NLC6,Solar
69,ground-heatpump-existing_NLC3,0.04,0.0,0.0,buildings heat,wy_2009,NLC3,Ground HP
70,solar-PV-existing_NLC4,3.24,0.0,0.0,electricity,wy_2009,NLC4,Solar
71,coal-boiler-existing_BEC4,0.0,0.0,0.01,buildings heat,wy_2009,BEC4,Coal Boiler
72,CCGT-existing_BEC7,0.35,0.0,0.0,electricity,wy_2009,BEC7,Combined-cycle Gas Turbine
73,electric-heating-existing_BEC8,0.17,0.0,0.0,buildings heat,wy_2009,BEC8,Electric Heater
74,ground-heatpump-existing_NLC6,0.02,0.0,0.0,buildings heat,wy_2009,NLC6,Ground HP
75,bio-boiler-existing_NLC2,0.44,0.0,0.0,buildings heat,wy_2009,NLC2,Biomass Boiler
76,coal-boiler-existing_BEC1,0.0,0.01,0.02,buildings heat,wy_2009,BEC1,Coal Boiler
77,nuclear-3-existing_BEC5,0.01,0.0,0.0,electricity,wy_2009,BEC5,Nuclear
78,bio-boiler-existing_BEC3,0.71,0.0,0.0,buildings heat,wy_2009,BEC3,Biomass Boiler
79,oil-boiler-existing_NLC9,0.0,0.01,0.03,buildings heat,wy_2009,NLC9,Diesel Boiler
80,wasteST-existing_BEC8,0.02,0.0,0.0,electricity,wy_2009,BEC8,Waste Steam Turbine
81,bio-boiler-existing_NLC7,0.12,0.0,0.0,buildings heat,wy_2009,NLC7,Biomass Boiler
82,electric-heating-existing_BEC6,0.18,0.0,0.0,buildings heat,wy_2009,BEC6,Electric Heater
83,solar-PV-existing_BEC4,0.49,0.0,0.0,electricity,wy_2009,BEC4,Solar
84,SCPC-existing_BEC8,0.55,0.0,0.0,electricity,wy_2009,BEC8,Coal Power Plant
85,air-heatpump-existing_BEC8,0.01,0.0,0.0,buildings heat,wy_2009,BEC8,Air HP
