,source,target,y2030,y2040,y2050,polygon,technology,scenario
0,buildings heat,emission,0.3171393333333333,0.2244276111111111,0.0,,atmosphere,wy_2009
1,buildings heat,emission,0.02269333333333332,0.016074444444444443,0.0,,atmosphere,wy_2009
2,buildings heat,emission,0.00869911111111108,0.00614611111111111,0.0,,atmosphere,wy_2009
3,buildings heat,emission,0.32631122222222225,0.23090466666666665,0.0,,atmosphere,wy_2009
4,buildings heat,emission,0.015979888888888877,0.011299388888888887,0.0,,atmosphere,wy_2009
5,buildings heat,emission,0.16793066666666667,0.11885633333333334,0.0,,atmosphere,wy_2009
6,buildings heat,emission,0.0868965555555566,0.061508388888888106,0.0,,atmosphere,wy_2009
7,buildings heat,emission,0.13814566666666667,0.09777044444444445,0.0,,atmosphere,wy_2009
8,buildings heat,emission,0.29747177777777783,0.21048066666666668,0.0,,atmosphere,wy_2009
9,buildings heat,emission,0.10618588888888901,0.0751243888888889,0.0,,atmosphere,wy_2009
10,buildings heat,emission,0.061650222222222516,0.0436373888888891,0.0,,atmosphere,wy_2009
11,buildings heat,emission,0.05777344444444429,0.04089527777777795,0.0,,atmosphere,wy_2009
12,buildings heat,emission,0.03252711111111106,0.02302427777777778,0.0,,atmosphere,wy_2009
13,buildings heat,emission,0.27109077777777774,0.19185322222222223,0.0,,atmosphere,wy_2009
14,buildings heat,emission,0.05361300000000011,0.037964055555555445,0.0,,atmosphere,wy_2009
15,buildings heat,emission,0.65527,0.46370044444444336,0.0,,atmosphere,wy_2009
16,buildings heat,emission,0.2696724444444445,0.19081311111111093,0.0,,atmosphere,wy_2009
17,pharmaceuticals,emission,0.004782274991592143,0.004782274991592143,0.004782274991592143,,atmosphere,wy_2009
18,transport-equipment,emission,0.0007567382820644357,0.0007567382820644357,0.0007567382820644357,,atmosphere,wy_2009
19,wood,emission,0.0010124458206488094,0.0010124458206488094,0.0010124458206488094,,atmosphere,wy_2009
20,aluminium,emission,0.0025849119695862057,0.0025849119695862057,0.0025849119695862057,,atmosphere,wy_2009
21,transport-equipment,emission,0.0010319158391787753,0.0010319158391787753,0.0010319158391787753,,atmosphere,wy_2009
22,machinery-equipment,emission,0.0005954807323630024,0.0005954807323630024,0.0005954807323630024,,atmosphere,wy_2009
23,,emission,0.018061385050378086,0.018061385050378086,0.018061385050378086,,atmosphere,wy_2009
24,,emission,0.015685224546910553,0.015685224546910553,0.015685224546910553,,atmosphere,wy_2009
25,pulp,emission,0.035221092950204654,0.035221092950204654,0.035221092950204654,,atmosphere,wy_2009
26,,emission,0.029082974427810805,0.029082974427810805,0.029082974427810805,,atmosphere,wy_2009
27,pharmaceuticals,emission,0.002174767536951485,0.002174767536951485,0.002174767536951485,,atmosphere,wy_2009
28,,emission,0.0043384585577732875,0.0043384585577732875,0.0043384585577732875,,atmosphere,wy_2009
29,food-beverages-tobacco,emission,0.022356334226362972,0.022356334226362972,0.022356334226362972,,atmosphere,wy_2009
30,,emission,0.1809544637288508,0.1809544637288508,0.1809544637288508,,atmosphere,wy_2009
31,,emission,0.007767826549277723,0.007767826549277723,0.007767826549277723,,atmosphere,wy_2009
32,,emission,0.008256633165887126,0.008256633165887126,0.008256633165887126,,atmosphere,wy_2009
33,,emission,0.0013225525953619215,0.0013225525953619215,0.0013225525953619215,,atmosphere,wy_2009
34,food-beverages-tobacco,emission,0.08759480633682366,0.08759480633682366,0.08759480633682366,,atmosphere,wy_2009
35,leather-and-textile,emission,0.0008438063334244987,0.0008438063334244987,0.0008438063334244987,,atmosphere,wy_2009
36,,emission,0.0057197212148796745,0.0057197212148796745,0.0057197212148796745,,atmosphere,wy_2009
37,transport-equipment,emission,0.00063012460931165,0.00063012460931165,0.00063012460931165,,atmosphere,wy_2009
38,transport-equipment,emission,0.0003544450927378032,0.0003544450927378032,0.0003544450927378032,,atmosphere,wy_2009
39,food-beverages-tobacco,emission,0.054179601690669175,0.054179601690669175,0.054179601690669175,,atmosphere,wy_2009
40,,emission,0.008772672738755071,0.008772672738755071,0.008772672738755071,,atmosphere,wy_2009
41,pulp,emission,0.00037363962433906167,0.00037363962433906167,0.00037363962433906167,,atmosphere,wy_2009
42,food-beverages-tobacco,emission,0.05485566558747755,0.05485566558747755,0.05485566558747755,,atmosphere,wy_2009
43,pharmaceuticals,emission,0.0216974646286193,0.0216974646286193,0.0216974646286193,,atmosphere,wy_2009
44,leather-and-textile,emission,0.00184582635436609,0.00184582635436609,0.00184582635436609,,atmosphere,wy_2009
45,,emission,0.014315497500005742,0.014315497500005742,0.014315497500005742,,atmosphere,wy_2009
46,cement,emission,0.4328478420479534,0.4328478420479534,0.4328478420479534,,atmosphere,wy_2009
47,paper,emission,0.04036956269995487,0.04036956269995487,0.04036956269995487,,atmosphere,wy_2009
48,paper,emission,0.022064231557429585,0.022064231557429585,0.022064231557429585,,atmosphere,wy_2009
49,,emission,0.009694324809270238,0.009694324809270238,0.009694324809270238,,atmosphere,wy_2009
50,machinery-equipment,emission,0.001100332521965074,0.001100332521965074,0.001100332521965074,,atmosphere,wy_2009
51,machinery-equipment,emission,0.0006769239182070123,0.0006769239182070123,0.0006769239182070123,,atmosphere,wy_2009
52,leather-and-textile,emission,0.0006855926459074062,0.0006855926459074062,0.0006855926459074062,,atmosphere,wy_2009
53,steel,emission,0.7622633321791972,0.7622633321791972,0.7622633321791972,,atmosphere,wy_2009
54,pharmaceuticals,emission,0.001812306280792905,0.001812306280792905,0.001812306280792905,,atmosphere,wy_2009
55,,emission,0.0067860273664891715,0.0067860273664891715,0.0067860273664891715,,atmosphere,wy_2009
56,,emission,0.07664347944539082,0.07664347944539082,0.07664347944539082,,atmosphere,wy_2009
57,,emission,0.029082974427810795,0.029082974427810795,0.029082974427810795,,atmosphere,wy_2009
58,paper,emission,0.042607298817289196,0.042607298817289196,0.042607298817289196,,atmosphere,wy_2009
59,food-beverages-tobacco,emission,0.036290077631851166,0.036290077631851166,0.036290077631851166,,atmosphere,wy_2009
60,pulp,emission,0.0005095085786441751,0.0005095085786441751,0.0005095085786441751,,atmosphere,wy_2009
61,paper,emission,0.024409026769805164,0.024409026769805164,0.024409026769805164,,atmosphere,wy_2009
62,leather-and-textile,emission,0.00042190316671224893,0.00042190316671224893,0.00042190316671224893,,atmosphere,wy_2009
63,machinery-equipment,emission,0.0009169437683042259,0.0009169437683042259,0.0009169437683042259,,atmosphere,wy_2009
64,leather-and-textile,emission,0.0005922882653681898,0.0005922882653681898,0.0005922882653681898,,atmosphere,wy_2009
65,emission,cement,0.0,0.0,5.563969996289694,BEC7,CEM2-(BMW)MEA_BEC7,wy_2009
66,,emission,0.0003923591945126872,0.0003923591945126872,0.0003923591945126872,,atmosphere,wy_2009
67,food-beverages-tobacco,emission,0.029871295949768277,0.029871295949768277,0.029871295949768277,,atmosphere,wy_2009
