,source,target,y2030,y2040,y2050,polygon,technology,scenario
0,coal,buildings,0.0008039777777777779,0.0005688666666666668,0.0,BEC8,coal-boiler-existing_BEC8,wy_2009
1,methane,buildings,0.18142804372525254,0.1565259592676767,0.0,NLC4,gas-boiler-existing_NLC4,wy_2009
2,methane,buildings,0.0,0.0,0.021705642040999996,NLC9,gas-boiler_NLC9,wy_2009
3,hydrocarbons,buildings,0.006259577777777778,0.004429544444444444,0.0,NLC3,oil-boiler-existing_NLC3,wy_2009
4,hydrocarbons,electricity,0.5554394521839647,0.5554394521839647,0.5554394521839647,NLC6,oil-eng_NLC6,wy_2009
5,methane,buildings,0.0,0.0,0.11708156771199998,NLC3,gas-boiler_NLC3,wy_2009
6,methane,buildings,0.0,0.0,0.071355228313,NLC6,gas-boiler_NLC6,wy_2009
7,methane,buildings,0.016702192551515154,0.015252377515151521,0.0,BEC4,gas-boiler-existing_BEC4,wy_2009
8,methane,buildings,0.03441207522828283,0.03161114991111111,0.0,BEC8,gas-boiler-existing_BEC8,wy_2009
9,hydrocarbons,buildings,0.027277744444444446,0.019303005555555558,0.0,BEC8,oil-boiler-existing_BEC8,wy_2009
10,coal,buildings,0.0008819222222222222,0.0006240666666666667,0.0,BEC3,coal-boiler-existing_BEC3,wy_2009
11,coal,buildings,0.0007326777777777778,0.0005185222222222223,0.0,BEC5,coal-boiler-existing_BEC5,wy_2009
12,methane,buildings,0.01879287496464646,0.01734366011212121,0.0,BEC7,gas-boiler-existing_BEC7,wy_2009
13,hydrocarbons,electricity,0.0,0.022218019714283433,0.022218019714283433,NLC5,oil-eng_NLC5,wy_2009
14,hydrocarbons,buildings,0.007894366666666666,0.00558644444444445,0.0,NLC4,oil-boiler-existing_NLC4,wy_2009
15,hydrocarbons,buildings,0.013241866666666666,0.009370583333333333,0.0,BEC4,oil-boiler-existing_BEC4,wy_2009
16,methane,buildings,0.058477545697979784,0.04983666034141414,0.0,NLC2,gas-boiler-existing_NLC2,wy_2009
17,hydrocarbons,buildings,0.06965038888888889,0.04928772222222222,0.0,BEC2,oil-boiler-existing_BEC2,wy_2009
18,methane,buildings,0.15382375963838382,0.13159845172525253,0.0,NLC3,gas-boiler-existing_NLC3,wy_2009
19,coal,buildings,0.0007288444444444447,0.0005157111111111106,0.0,BEC1,coal-boiler-existing_BEC1,wy_2009
20,hydrocarbons,buildings,0.0011364555555555555,0.0008042333333333334,0.0,NLC9,oil-boiler-existing_NLC9,wy_2009
