,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
0,gas-boiler-existing_NLC6,3.99,3.43,0.0,buildings heat,wy_2009,NLC6,Gas Boiler
1,LNG-terminal_NLC5,3.98,3.98,3.98,methane,wy_2009,NLC5,LNG Terminals
2,coal-boiler-existing_BEC3,0.03,0.02,0.0,buildings heat,wy_2009,BEC3,Coal Boiler
3,coal-boiler-existing_NLC8,0.01,0.0,0.0,buildings heat,wy_2009,NLC8,Coal Boiler
4,oil-boiler-existing_NLC7,0.02,0.02,0.0,buildings heat,wy_2009,NLC7,Diesel Boiler
5,LNG-terminal_NLC7,3.98,3.98,3.98,methane,wy_2009,NLC7,LNG Terminals
6,coal-boiler-existing_NLC6,0.01,0.0,0.0,buildings heat,wy_2009,NLC6,Coal Boiler
7,LNG-terminal_BEC8,3.48,3.48,3.48,methane,wy_2009,BEC8,LNG Terminals
8,oil-eng_NLC6,8.45,8.45,8.45,electricity,wy_2009,NLC6,Diesel Group
9,coal-boiler-existing_BEC5,0.03,0.02,0.0,buildings heat,wy_2009,BEC5,Coal Boiler
10,coal-boiler-existing_NLC1,0.0,0.0,0.0,buildings heat,wy_2009,NLC1,Coal Boiler
11,RoR_BEC6,0.03,0.03,0.03,electricity,wy_2009,BEC6,Run-of-River
12,gas-boiler-existing_NLC9,1.24,1.05,0.0,buildings heat,wy_2009,NLC9,Gas Boiler
13,coal-boiler-existing_NLC2,0.0,0.0,0.0,buildings heat,wy_2009,NLC2,Coal Boiler
14,oil-boiler-existing_BEC4,0.52,0.37,0.0,buildings heat,wy_2009,BEC4,Diesel Boiler
15,LNG-terminal_NLC3,3.98,3.98,3.98,methane,wy_2009,NLC3,LNG Terminals
16,LNG-terminal_BEC5,3.48,3.48,3.48,methane,wy_2009,BEC5,LNG Terminals
17,gas-boiler-existing_NLC8,4.7,4.02,0.0,buildings heat,wy_2009,NLC8,Gas Boiler
18,gas-boiler_BEC4,0.0,-0.0,0.82,buildings heat,wy_2009,BEC4,Gas Boiler
19,coal-boiler-existing_NLC4,0.01,0.01,0.0,buildings heat,wy_2009,NLC4,Coal Boiler
20,LNG-terminal_NLC4,3.98,3.98,3.98,methane,wy_2009,NLC4,LNG Terminals
21,oil-eng_BEC6,2.33,2.33,2.33,electricity,wy_2009,BEC6,Diesel Group
22,LH2-terminal_NLC5,0.86,0.86,0.86,hydrogen,wy_2009,NLC5,LH2-terminal
23,RoR_BEC5,0.0,0.0,0.0,electricity,wy_2009,BEC5,Run-of-River
24,oil-eng_NLC4,0.33,0.33,0.33,electricity,wy_2009,NLC4,Diesel Group
25,oil-boiler-existing_NLC1,0.06,0.04,0.0,buildings heat,wy_2009,NLC1,Diesel Boiler
26,gas-extraction_NLC7,1.32,1.32,1.32,methane,wy_2009,NLC7,Gas Extractions
27,LNG-terminal_NLC2,3.98,3.98,3.98,methane,wy_2009,NLC2,LNG Terminals
28,gas-boiler_NLC2,0.0,-0.0,1.92,buildings heat,wy_2009,NLC2,Gas Boiler
29,coal-boiler-existing_NLC5,0.01,0.0,0.0,buildings heat,wy_2009,NLC5,Coal Boiler
30,LNG-terminal_BEC6,3.48,3.48,3.48,methane,wy_2009,BEC6,LNG Terminals
31,gas-boiler-existing_NLC4,7.81,6.74,0.0,buildings heat,wy_2009,NLC4,Gas Boiler
32,coal-boiler-existing_NLC3,0.01,0.01,0.0,buildings heat,wy_2009,NLC3,Coal Boiler
33,gas-extraction_NLC9,1.32,1.32,1.32,methane,wy_2009,NLC9,Gas Extractions
34,LNG-terminal_NLC9,3.98,3.98,3.98,methane,wy_2009,NLC9,LNG Terminals
35,oil-boiler-existing_BEC5,0.98,0.69,0.0,buildings heat,wy_2009,BEC5,Diesel Boiler
36,LNG-terminal_NLC6,3.98,3.98,3.98,methane,wy_2009,NLC6,LNG Terminals
37,gas-extraction_NLC2,1.32,1.32,1.32,methane,wy_2009,NLC2,Gas Extractions
38,gas-boiler_BEC6,0.0,-0.0,1.79,buildings heat,wy_2009,BEC6,Gas Boiler
39,gas-extraction_NLC4,1.32,1.32,1.32,methane,wy_2009,NLC4,Gas Extractions
40,oil-boiler-existing_BEC2,2.73,1.93,0.0,buildings heat,wy_2009,BEC2,Diesel Boiler
41,gas-boiler_NLC4,0.0,-0.0,6.11,buildings heat,wy_2009,NLC4,Gas Boiler
42,gas-boiler-existing_NLC2,2.52,2.15,0.0,buildings heat,wy_2009,NLC2,Gas Boiler
