,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
0,oil-eng_NLC6,3206.42,0.0,0.0,electricity,wy_2009,NLC6,Diesel Group
1,gas-boiler_BEC4,0.0,0.0,109.98,buildings heat,wy_2009,BEC4,Gas Boiler
2,oil-eng_BEC6,882.59,0.0,0.0,electricity,wy_2009,BEC6,Diesel Group
3,oil-eng_NLC4,127.07,0.0,0.0,electricity,wy_2009,NLC4,Diesel Group
4,gas-boiler_NLC2,0.0,0.0,256.3,buildings heat,wy_2009,NLC2,Gas Boiler
5,gas-boiler_BEC6,0.0,0.0,239.05,buildings heat,wy_2009,BEC6,Gas Boiler
6,gas-boiler_NLC4,0.0,0.0,815.48,buildings heat,wy_2009,NLC4,Gas Boiler
7,gas-boiler_NLC7,0.0,0.0,68.83,buildings heat,wy_2009,NLC7,Gas Boiler
8,gas-boiler_BEC3,0.0,0.0,249.82,buildings heat,wy_2009,BEC3,Gas Boiler
9,oil-eng_NLC9,247.92,0.0,0.0,electricity,wy_2009,NLC9,Diesel Group
10,oil-eng_NLC5,0.0,104.43,0.0,electricity,wy_2009,NLC5,Diesel Group
11,gas-boiler_NLC5,0.0,0.0,432.43,buildings heat,wy_2009,NLC5,Gas Boiler
12,gas-boiler_BEC5,0.0,0.0,208.78,buildings heat,wy_2009,BEC5,Gas Boiler
13,gas-boiler_NLC6,0.0,0.0,414.16,buildings heat,wy_2009,NLC6,Gas Boiler
14,oil-eng_BEC8,671.6,0.0,51.98,electricity,wy_2009,BEC8,Diesel Group
15,gas-boiler_BEC8,0.0,0.0,227.71,buildings heat,wy_2009,BEC8,Gas Boiler
16,gas-boiler_NLC1,0.0,0.0,178.63,buildings heat,wy_2009,NLC1,Gas Boiler
17,gas-boiler_BEC7,0.0,0.0,124.84,buildings heat,wy_2009,BEC7,Gas Boiler
18,gas-boiler_NLC8,0.0,0.0,482.34,buildings heat,wy_2009,NLC8,Gas Boiler
19,gas-boiler_NLC3,0.0,0.0,679.57,buildings heat,wy_2009,NLC3,Gas Boiler
20,gas-boiler_BEC1,0.0,0.0,221.49,buildings heat,wy_2009,BEC1,Gas Boiler
21,gas-boiler_BEC2,0.0,0.0,572.05,buildings heat,wy_2009,BEC2,Gas Boiler
22,gas-boiler_NLC9,0.0,0.0,125.98,buildings heat,wy_2009,NLC9,Gas Boiler
23,Diaphragm_BEC3,0.0,0.0,5.02,chemicals,wy_2009,BEC3,Diaphragm
24,CEM2-(BMW)MEA_NLC6,0.0,0.0,28.75,cement,wy_2009,NLC6,CEM2-(BMW)MEA
25,(H2)DRI-EAF_BEC4,3734.99,0.0,0.0,steel,wy_2009,BEC4,(H2)DRI-EAF
26,(H2)DRI-EAF_NLC5,4966.13,0.0,0.0,steel,wy_2009,NLC5,(H2)DRI-EAF
27,Diaphragm_BEC1,0.0,0.0,14.43,chemicals,wy_2009,BEC1,Diaphragm
28,Diaphragm_NLC1,0.0,0.0,3.49,chemicals,wy_2009,NLC1,Diaphragm
29,Diaphragm_NLC6,0.0,0.0,20.95,chemicals,wy_2009,NLC6,Diaphragm
30,Diaphragm_BEC5,0.0,0.0,11.54,chemicals,wy_2009,BEC5,Diaphragm
31,CEM2-(BMW)MEA_BEC7,0.0,0.0,156.24,cement,wy_2009,BEC7,CEM2-(BMW)MEA
32,EU_total,0.0,0.0,5407.44,buildings heat,wy_2009,Europe,Gas Boiler
33,EU_total,0.0,0.0,184.99,cement,wy_2009,Europe,CEM2-(BMW)MEA
34,EU_total,0.0,0.0,55.43,chemicals,wy_2009,Europe,Diaphragm
35,EU_total,5135.6,104.43,51.98,electricity,wy_2009,Europe,Diesel Group
36,EU_total,8701.13,0.0,0.0,steel,wy_2009,Europe,(H2)DRI-EAF
