,storage_name,y2030,y2040,y2050,technology,node,scenario,polygon
0,CH4-geo-formation_NLC7,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC7
1,CH4-geo-formation_BEC5,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC5
2,salt-cavern_NLC6,27.78,-0.0,0.0,salt-cavern,H2,wy_2009,NLC6
3,salt-cavern_NLC5,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC5
4,salt-cavern_NLC3,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC3
5,salt-cavern_NLC4,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC4
6,CH4-geo-formation_BEC7,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC7
7,CH4-geo-formation_BEC8,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC8
8,CH4-geo-formation_NLC5,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC5
9,CH4-geo-formation_NLC1,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC1
10,salt-cavern_NLC1,27.78,-0.0,0.0,salt-cavern,H2,wy_2009,NLC1
11,CH4-geo-formation_BEC4,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC4
12,salt-cavern_NLC2,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC2
13,CH4-geo-formation_BEC6,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC6
14,CH4-geo-formation_NLC3,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC3
15,salt-cavern_NLC7,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC7
16,CH4-geo-formation_BEC1,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC1
17,salt-cavern_NLC9,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC9
18,CH4-geo-formation_NLC8,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC8
19,CH4-geo-formation_NLC9,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC9
20,salt-cavern_NLC8,27.78,0.0,0.0,salt-cavern,H2,wy_2009,NLC8
21,CH4-geo-formation_NLC6,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC6
22,CH4-geo-formation_BEC3,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC3
23,CH4-geo-formation_NLC2,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC2
24,CH4-geo-formation_NLC4,16003.33,16003.33,16003.33,CH4-geo-formation,CH4,wy_2009,NLC4
25,CH4-geo-formation_BEC2,1103.75,1103.75,1103.75,CH4-geo-formation,CH4,wy_2009,BEC2
26,EU_total,152860.0,152860.0,152860.0,CH4-geo-formation,CH4,wy_2009,Europe
27,EU_total,250.0,0.0,0.0,salt-cavern,H2,wy_2009,Europe
