,unit_name,node,y2030,y2040,y2050,scenario,polygon,technology
0,other-non-ferrous-metals-production-alternative_IE,other-non-ferrous-metals,63.38,70.0,60.74,wy_2009,IE,other-non-ferrous-metals-production-alternative
1,gas-boiler-existing_IE,buildings heat,1949.46,117.27,0.0,wy_2009,IE,Gas Boiler
2,SCPC-existing_IE,emission,1747.07,0.0,0.0,wy_2009,IE,Coal Power Plant
3,other-non-ferrous-metals-production-reference_IE,emission,0.4,0.0,0.56,wy_2009,IE,other-non-ferrous-metals-production-reference
4,SMR_IE,hydrogen,0.0,3.36,269.09,wy_2009,IE,Steam Methane Reforming
5,pharmaceuticals-production-reference_IE,emission,0.77,0.0,0.0,wy_2009,IE,pharmaceuticals-production-reference
6,(H2)FT-DC_IE,hydrocarbons,0.0,81.1,13834.43,wy_2009,IE,Synfuel Production
7,gas-extraction_IE,emission,2251.39,2136.66,1388.09,wy_2009,IE,Gas Extractions
8,air-heatpump-existing_IE,buildings heat,57.66,26.92,0.0,wy_2009,IE,Air HP
9,methanation_IE,methane,0.0,0.0,852.05,wy_2009,IE,Methanation
10,air-heatpump-cool_IE,buildings,705.35,937.44,1291.43,wy_2009,IE,Cooling Unit
11,bio-boiler-existing_IE,buildings heat,3389.62,721.91,0.0,wy_2009,IE,Biomass Boiler
12,printing-and-media-production-alternative_IE,printing-and-media,60.0,60.0,60.0,wy_2009,IE,printing-and-media-production-alternative
13,CO2-injection,CO2-sink,0.0,3600.0,3600.0,wy_2009,Europe,CO2-injection
14,bio-diges-up_IE,methane,1329.76,3727.78,11526.51,wy_2009,IE,Bio-digestion and Upgrading
15,gas-extraction_IE,methane,11256.93,10683.3,6940.45,wy_2009,IE,Gas Extractions
16,coal-boiler-existing_IE,buildings heat,7760.49,80.17,0.0,wy_2009,IE,Coal Boiler
17,DAC_IE,CO2,0.0,3623.51,7779.86,wy_2009,IE,DAC
18,wind-off-FB-SP370-HH155_ATIE,electricity,0.0,0.0,27251.99,wy_2009,IE,Offshore Wind
19,alumina-production-alternative_IE,aluminium,1028.53,1883.0,1633.78,wy_2009,IE,alumina-production-alternative
20,pharmaceuticals-production-alternative_IE,pharmaceuticals,533.45,546.33,546.33,wy_2009,IE,pharmaceuticals-production-alternative
21,leather-and-textile-production-alternative_IE,leather-and-textile,124.98,124.98,124.98,wy_2009,IE,leather-and-textile-production-alternative
22,battery-storage_IE__elec_IE,electricity,718.22,1458.36,3638.5,wy_2009,IE,Battery Charger
23,electric-heating_IE,buildings heat,2898.16,723.39,1429.94,wy_2009,IE,Electric Heater
24,REF-SMR_IE,hydrocarbons,27377.86,11309.38,0.0,wy_2009,IE,Refinery
25,machinery-equipment-production-alternative_IE,machinery-equipment,1056.06,1056.06,1056.06,wy_2009,IE,machinery-equipment-production-alternative
